p2.key,p2.hotel_name,p2.city_name,p2.country_code,p2.hotel_address,p2.star_rating,p2.postal_code
9494A063EF5C6B311CDD2DDD87D775A9,MGM Luxury Villa,Uluwatu,ID,"Jl. Indraprasta, Br. Giri Darma Bukit Ungasan",2,80364
4A46417D4D1B9ED3E5B5198D7E31B7CD,The Urban Hotel,Bangalore,IN,"3, Rustam Bagh Road, Off HAL Airport Road, (next to Manipal Hospital), Bangalore",3,560017
76160461BF16DEE6C10ECAACC6B576F5,Hotel Royale Ambience,Raipur,IN,"Shri Guru Gobind Singh Chowk, Fafadih",3,492009
3ACC6E5C560D54CDA969FCA1714AB3DF,Madu Inn,Jakarta,ID,Jl. Madu No. 36,1,11180
04AD88AFFF89A2B3299736E9C01B3755,Ron Gong Hotel,Chiayi City,TW,"No. 77, Ximen Street",0,700
5C1B37DAC0DE1962BCD17C58B740E48A,Riverside Oasis Villa,Hoi An,VN, 06 Tong van Suong,0,
A73339466EEE77DD782A46057DB642EE,Sea Bay,Taitung City,TW,"No. 578, Section 2, Jilin Road",0,950
CC0C405E8A1515C7F4BF827D1D69448F,Hotel Churuwala Inn,R?nch?,IN,Main Road,3,834001
4969DB0414C84734338D18EA0EABDA6D,Autumn Breeze Manor and Lodge B&B,Graskop,ZA,63 President Street,0,1270
A0CD0C8D023E23883ACCD8EE353D5E63,Beykent Inn Hotel,Beylikduzu,TR,Cumhuriyet mah. Yıldıray Çınar sok. / ?afak sok. No:28 Beykent - Beylikdüzü / Büyükçekmece,0,34500
90EC8D87932AFD95869B21E74CC14548,7Days Inn Shijia Zhuang Hongqi Street,Shijiazhuang,CN,"No. 1 Building, Hongqi Street, Qiaoxi District, Shijia Zhuang",2,50000
CF79136D8A602CBDB6C870D0BAC50DB0,7Days Inn Beijing Normal University,Beijing,CN,No.3 CourtyaRoad Xinfeng Street,2,100000
7658ACF79ACDCDDA465EBF9C04DD009C,Dewa Put Guest House,Ubud,ID,"Jln. Pura Penataran, Br. Pengosekan Kaja, Desa Mas",0,80571
ED8C2343012099983266972B2A91CA71,Heng Heng Guest House And Restaurant,Kratie,KH,"Vithey Preah Sorammarith, Riverfront road, Sangkat Kratie",0,
2F92043F6B5222AF83FE02AA17AD7B7A,Shongthai&Maimhon,Lop Buri,TH,"315,Moo. 2, T.Thasala M.Muang, Lopburi (315 ?. 2 ?. ??????? ?.????? ?.??????)",0,15000
69B288ECD7F9BDEB053DE67E88A08FD7,Daegwalnyeong Beauty House Pension,Pyeongchang ,KR,Daegwalnyeong-myeon Hoenggye-ri 677-6,2,232-954
BFD5A66A69FB7C69D67C273AF438F3A9,Nap Hotel Oviedo,Oviedo,ES,"Jose Ramon Zaragoza, 6",4,33013
0C16DD8E64F9C8A66D227399DB5DD533,RedDoorz Near ITC Fatmawati,Jakarta,ID,"Jl. Abdul Madjid Raya No. 25, Cipete Selatan",3,12150
EBD46CDCD01BCED869CD0A87856CB4E7,Seasons Of Perth,Perth,AU,37 Pier Street,4,6000
EE96D7CB05B488584B3C79F9FF41EC42,Asteria Hotel,Saint Petersburg,RU,Naberezhnaya Reki Fontanki 71,3,191023
9A7C0B5AF78BBB2D8ECA5E24A16656D8,Alysson Hôtel,Oloron-Sainte-Marie,FR,Boulevard des Pyrénées,3,64400
319560D1175F80B20BE78BE82C3916CE,Dream Inn Dubai Apartments - Al Sahab,Dubai,AE,Al Gharbi,0,
9BFDAA954C87B04E8129205E6E79B731,Comfort Inn & Suites,Fort Myers,US,10081 Intercom Drive,3,33913
8B31B7E7097B98578CCFDA3E5999D152,Lindemann'S,Berlin,DE,Potsdamer Straße 171-173,3,10783
0CC840AD48E4E83EAD026D5B51C4CE89,Apartamentos Habitat,Port de Pollensa,ES,"Calle Cap Roig, 1",3,7470
004942E1434C416AE1AE21951747129E,Khanh Huyen Seaview Hotel,Cat Ba,VN,"11 Tung Dinh street, Cat Ba Town, Cat Hai District",2,
0438BF3E7A18E270DF33F9D61941F8EE,National Residency,Bangalore,IN,"37-2, Sheshadri road Opposite city railway Bhavan Majestic",3,560009
2DC096E6542FD84B36896109DD2D497E,Te Wanaka Lodge,Wanaka,NZ,23 Brownston Street,4,9305
0CB3C4188236E73F86DD5E853C45AEFB,Lenna Of Hobart,Hobart,AU,20 Runnymede Street,4.5,7004
2B9D80DB590D40915F5C228EC79446F4,Comfort Inn Idaho Falls,Idaho Falls,US,195 South Colorado Avenue,2,83402
24483B76CDD1D01324294E02542F9DB3,The Heritage Hotel Manila,Manila,PH,Roxas Blvd Corner Edsa,4,1300
3121DD035183AA8474FAF9B1318319E7,Best Western Sea Spray Motel,Merimbula,AU,38 Merimbula Drive,3.5,2548
4DEFA44622B2D5C6F221CC3B7A22FF1E,Toscana Village Resort,Airlie Beach,AU,10 Golden Orchid Drive,4,4802
998FA71C9FFAD7CDFA55240EA2765B42,Comfort Inn & Suites Vancouver,Vancouver,US,401 East 13th Street,3,98660
26876A13A3C4EA7719501187A7E84FC9,Comfort Inn Downtown Cleveland,Cleveland,US,1800 Euclid Avenue,2,44115
27FBF4EB220BCE7984C2B6332DEF972A,Haus Giotto,Gansbaai,ZA,"81 Hoof Weg, De Kelders",4,7220
67A88CF08BABF2FD6B47B7F73C676423,Hotel Sunroute Seto-Ohashi,Utazu,JP,Hama Rokuban-cho 81-1 ,3,769-0206
7921D5ADB66FCDDEDFB157F74030BB24,Phanomrungpuri Hotel Buriram,Nang Rong,TH,"2073 212 Prachantakhet Rd., Nang Rong District, Buriram",4,31110
FEC453348403259EDE6A8C513665781D,Jomtien Morningstar Guesthouse,Jomtien Beach,TH,"279/229-231 (Soi Sarita hotels, between Jomtien Soi 11 and 12) Moo 12, Jomtien Nongprue Banglamung",2,20150
EBD7060C2A8FCF446C3F3FE90DC6D1DA,Americas Best Value Inn & Suites Tyler,Tyler,US,2828 West Northwest Loop 323,2,75702
B6A7957BFAC32AD05A24704FF0C25B5E,Thaproban Beach House,Unawatuna,LK,"Yaddehimulla Road, Unawatuna",4,"80000	"
F2726ADC12FC8D21C875C9EE5274335E,Royal Mile Accommodation,Edinburgh,GB,Old Tolbooth Wynd,4,EH8 8EQ
C1A2BC95156E32DCA8A7E275FDCE5AB1,Averill Court Motel,Paihia,NZ,62 Seaview Road,4,200
0905929B72A2DA64B292348EA422AC8C,Yudanaka Yumoto,Yamanouchi,JP,Hirao 3080,3,381-0401
6D99A7B889675EE254FF05D966C37249,Saltwater Apartments,Eden,AU,2 Lake Street,4,2551
A594BBA2A6344B48551D6C0109BD8533,Hotel Sky Court Narita,Narita,JP,Shinden 161,2,287-0224
373233B8898C0A212F27B8A3E52FC1BB,Golden Lemon Hotel,Chengdu,CN,"No.31,Xi Mian Qiao Heng Street",4,610041
F7B240EB7C4243B59C2DFD54AD9F3156,ICOS Guesthouse 1 (Female only),Seoul,KR,33-5 Nogosan-dong,0,121-100
5D0FF6DBF65E3EBACABE4F965DEDA83E,Apartment Rue Theodore Deck Paris,Paris,FR, ,0,75015
1ED2D0B7F797B6205B25A9CC09146BAA,Barking Park Hotel,Barking,GB,56-60 Tanner Street,0,IG11 8QF
96FF99A1B278E14729D2EB03E57680A9,Hostelscat,Barcelona,ES,"Panissars, 5",0,8028
107FCE5988735E531CAE0DA812DB9A62,Hôtel Aletti Palace,Vichy,FR,3 Place Joseph Aletti,4,3200
BE1F2A474BD55E02A75506C86A4F21B3,The Signature Crest - Noida,Noida,IN,"A- 83 Sanjeevani, Sector 34, Opp Shivalik Hospital/ Shivalik Medical Centre",0,201307
083F31BF7C3ECDE949B0C2CB6B2FD0F9,Comfort Inn North Colorado Springs,Colorado Springs,US,6450 Corporate Drive,3,80919
002AA411EAF2F6A11CCCE7EF17140295,Comfort Suites Owensboro,Owensboro,US,230 Salem Drive,3,42303
B796A4EC1753E04EE0716FAEA5A2DE5B,Suburban Extended Stay Hotel Hampton,Hampton,US,1616 Hardy Cash Drive,1,23666
6195D077F289501B56D5C5BEF16E1963,Paradise Resort Gold Coast,Gold Coast,AU,"122 Ferny Avenue, Surfers Paradise",4,4212
C0D1A45E2391CA3E92684B79AFFA7DC9,Aparthotel Adagio La Défense Le Parc,Courbevoie,FR,"1, rue des Lilas d'Espagne",4,92400
18D50765BDD0BD31F1F4E4B658314BD7,Stasov Hotel,Saint Petersburg,RU,1-ya Liniya V. O. 16,3,199034
73A058DA925E8E2A1D07268368E80D62,Phuket Siray Hut,Phuket Town,TH,"25 Moo 1, Thepprathan Road, Ratsada, Muang, Phuket, 83000 Thailand",2,83000
125AE279C9CB7392DFBB194C6580A0BC,Hotel Brihaspati,Kathmandu,NP,"G.P.O. Box : 26385, Naxal",3,26385
3C2335E71DACA4856ED639F94CD6D207,Hermes Group of Houseboats,Srinagar,IN,"Dal Lake, Nehru Park",3,190001
0C9A7A46A04210D64C0971381397D165,Maui Seaside Hotel,Kahului,US,100 West Kaahumanu,2,96732
823855305BF80DBD196BDA407A9A324D,Villa Toscane,Montreux,CH,Rue du Lac 2/8,4,1820
1B9495F3894121380848C3A1C88BABDD,Tryp by Wyndham Bremen Airport,Bremen,DE,Neuenlander Str. 55,3,28199
5C862ABE4D1F98569E40FD820D2766B0,Drakensberg Mountain Retreat,Ethels Drive,ZA,Scheepers Hoek Farm,0,3350
85CDB7F5CA8617DF454D8297267C47C9,Old Observatory Youth Hostel Qingdao,Qingdao,CN,No.21 Quanxiang Second Road,0,266003
7BC324B69B81A3B7A99E0326D7B56D82,Hotel Saturnia & International,Venice,IT,"Via XXII Marzo, San Marco 2398",4,30124
D4B3F0AE541B9CB6B44DCE45494DDEBB,Flynns on Bathurst,Hobart,AU,79a Bathurst Street,4,7000
37CCB1E8899E4BA93870A81C0AB4AD3C,Ratanak Resort,Banlung,KH,"Sangkat Yeaklom, Banlung",3,
2CB668AE80B8E59A142FBF5226ADAB41,Beehive Phuket Old Town,Phuket Town,TH,"2/45 Montri road, Talad Yai, Phuket",2,83000
F50132E0BCD4A42DD5C6D30AAE4A658A,Neverland Youth Hostel,Dali,CN,"Near Cai Cun Pier, Da Li Ancient Town",2,671003
584AD779550DFCA5B7F58F729172B3C0,Hotel Delle Nazioni,Rome,IT,Via Poli 6,4,187
7823FA80E1D7088B0450B37471538FB9,Avney HaHoshen,Safed,IL,"T'Z 23, Kiryat Ha'amanim",0,18925
3DF46C3392F29CAD1E181DDB1BDCEF80,Margaret River Backpackers YHA,Margaret River,AU,66 Townview Terrace,0,6285
C76855CA40DB6C9D7137A215C014F683,ArendaIzrail Apartment - Dakar Street,Tel Aviv,IL,Dakar st. 21,0,6918209
8A3CCBBADE9814EE4513FF0F815D623B,Kamala Beach Residence,Kamala Beach,TH,"31/5 soi Kamala 8 Moo 5 kamala, Kathu, Phuket",3,83120
92DED2F44AD54AFD5DD40FEB56F19051,Van Hai Green Hotel,Quang Ninh,VN,"Son Hao, Quan Lan, Van Don",0,
33296D891996F70F9713EB30F0BC08A4,Alibaba Guest House,Varanasi,IN,"D-20/23 Munshi Ghat, Opp. Ganges Tnn, Bangali Tola",0,221001
78DDFF27DFBE1C1FAAFC133B5B88D7D3,7Days Inn Shenyang Lianhe Road Jixiang Market,Shenyang,CN,"No. 150, Lianhe Road",2,110041
53A09B7D409F0166B282065F7006B0FA,Oriza Hotel Surabaya,Surabaya,ID,Jl. Raya Karang Menjangan no. 72,2,60112
1C2CD445EE9704F2FD7CD09D9AF1EBE1,Ibis Styles Milano Est Settala,Settala,IT,Viale delle Industrie,3,20090
B2E3B72557A85A16858DBA86BF702E7B,Pride Biznotel Vadodara,Vadodara,IN,"AlankarTower ,Sayajigunj Vadodara – 390020, Gujarat, India",3,390020
27D6D74B43E9F55DE3151BB22A45D583,K-guesthouse Dongdaemun 1,Seoul,KR,"345, Dongho-ro, Jung-gu",2,121-140
A34415BB36D82AE0C728DF0D4DF73002,Hotel 500th,Mokpo,KR,"1092-4, Ogam-dong",2,58746
265B2FDB6926A323D97A97AB22FD0EA2,SohoTown Hotel,Kuala Lumpur,MY,No. 113 Jalan Sultan,0,50000
0807A9EDC33EF6B06A88B383576B4E24,GreenTree Inn Guangxi Nanning Baisha Avenue Provence Business Hotel,Nanning,CN,"No.93 Baisha Road, Jiangnan District, Nanning City, Guangxi (next to Provence Commercial Street)",3,530031
8B0CB35EB22D84A3347CE1954C335242,"Four Points by Sheraton Chengdu, Anren",Dayi,CN,"No.198, Yinbin Road, Anren",5,611331
40E9F2AFB3B96542C1E03203F3436BDC,Jade Inn Hotel,Varanasi,IN,"S 2/639-639A-1,Club Road,Secrole,Varanasi",3,221002
82A5607765C1AB52C0FE1B63BB0F5DAC,Hotel Akimomi,Pyin Oo Lwin,MM,"No.126, Khay Mar Street, Block No.6, Pyin Oo Lwin",0,11101
732E99ACD3B56AE3B511D501B9752482,Vestin Hostel,Seoul,KR,"50-6, Chungmuro 2-ga, Jung-gu",1,4553
1EF549769125FC1CBEC0951D36691239,Botanica Homestay,Wellington,NZ,"34 Ashleigh Crescent, Miramar",5,6022
055C97D7437DA839A8F76856D13ABE7F,Kaya Mani Thai Villa resort,Choeng Mon Beach,TH,"59/148 Moo 5, Tongsai Rd, Buphud, Koh Samui, Suratthanee, 84320",4,84320
820FC3FB86B24E2AB557900FC3FC8B4B,Donghae Olive Pension,Donghae,KR,"369, Ilchul-ro",0,25708
C70C418E888973174C1E7DFB630625AD,Zhouzhuangsu.Showyear Hotel,Zhouzhuang,CN,No.6 Tongxiuli (Gupai Building),0,37220
6D8AB5B1B31C376C615FBAD8704683DD,Karijini Eco Retreat,Karijini,AU,Weano Road,3,6751
B101EC573EA5CE8E953CAE33670F7756,Jingjiang Inn Xining West Wuxi Road Qinghai Normal University,Xining,CN,"No. 39 Wuxi Road (W.), Xining, Qinghai Province",3,810008
41767C513B4F56337B4713F445B4947D,ColorSpb Apartments Merchant House,Saint Petersburg,RU,??.??????????? 25,0,197198
630B5A29A1EBD062BDB0ECAF3C929594,Coconut Grove Beachfront Cottages,Matei,FJ,#9 Matei,3,
93E9CD75E53C9BDDC3C3FB8BF9888A38,Belton Woods,Grantham,GB,"Nr Grantham, Belton",4,NG32 2LN
9A9F58D008A28B99D8592AFDD70F7A50,Baan K Managed By Bliston,Bangkok,TH,"12/1 Soi Sathorn 2, North Sathorn Road, Silom, Bangrak",3,10500
8AC10114F7ECEC9EEAC94D8C79382583,Chestnut Country Lodge,Hazyview,ZA,"Farm 5JU, Portion 23, Emmett Road",0,1241
4903C45670DF59E955D069BC6193B4E1,Aquatech Villas DeRosa Resort,Akumal,MX,Lot 36 & 37 Aventuras Akumal,0,77737
AB8439551E4822998D6E7FD1B85BD68C,Hampton Inn Franklin,Franklin,US,4010 Nashville Road,3,42134
E6AC41AB70EB63EA1474961393BC250A,Khurana Inn,Bangkok,TH,"120/176-180 Near Baiyoke 2 Tower, Pratunam, Rajprapop Road,",3,10400
29D5FA4201F5A09BC74CCCD66A7C8CF9,Nir David Country Lodge,Nir Dawid,IL,Kibbutz Nir David,0,10803
1A97A5C3E26B204D1FD9CE42E90F33F9,Sky Hotel Krasnoyarsk,Krasnoyarsk,RU,60-Let Oktyabrya Street 94,3,660012
26F5D2114F83924148D99016B82C4A1D,Hotel Risberg,Gallipoli,IT,Viale Della Chiesa 15 - Loc. Baia Verde,3,73014
8D4D7681707DF9AA66523C407FBE165C,Hotel Adlige,Seoul,KR,"718-13, Yeoksam-Dong, Gangnam-Gu",3,135080
C6C7250909A9933ECCD7D29D9877B093,Hilton Namhae Golf & Spa Resort,Namhae,KR,"40-109, Namseo-daero 1179 beon-gil, Nam-myeon",5,668-862
4D8B6D2AC04762ED2D287210ECEB46CD,Howard Johnson Garden Plaza Yixing,Yixing,CN,"No. 109 Taodu Road,",5,214200
4B278F642A6D5CA30FD2D27CFEAA8728,Hotel Southern Star Hassan,Hassan,IN,B.M.Road,3,573201
7456D64E84E1962F5C8CF258C7E892B8,Villa La Sirena 4 by Nagisa Bali,Seminyak,ID,Jalan Sarinande,4,80361
6B3955D7ADB7BF434BB511230AB335D3,Mother's Place Nimala,Hikkaduwa,LK,Tiranagama ,0,80240
1DDB0C02421D05048D80A96B799DC3DE,Asoka City Bali,Kuta,ID,Jalan Kubu Anyar No.40,2,80361
63BF8BA38FFEABA5E9A53217DB19FB7E,Best Western PLUS Forest Park Inn,Gilroy,US,375 Leavesley Road,3,95020
ADA207ABFAB20EC7E24CBB1C7593BA1C,Alderman Apartments Cabot Mews,Bristol,GB,Redcross Street,0,BS2 0FL
D36AE909F45DA5EDF0FE3F0E895C46A8,Alfred Motor Inn,Ballarat,AU,1843 Sturt Street,3.5,3350
CD49CD09EB067BAB90723DA89D39469C,Hotel Fine Biwako I (Adult Only),Moriyama,JP,Kitagawa Minamata 2891-19 ,2,524-0102
2F2EA342406CDDD781D9FC0819609DDE,Hotel The Dude,Berlin,DE,Köpenicker Str. 92,4,10179
C9093B6159E6404B886D237263260853,Travelodge Wynyard,Sydney,AU,7-9 York Street,4,2000
33A02EEBBC32FF7F2D9474270AAB41DB,Fushioukaku,Ikeda,JP,Fushio-cho 128-1,3,563-8585
CC16F1ECB9CBFB8BAA7A18C14C4B0626,Summit Hotel Subang USJ,Subang Jaya,MY,"Persiaran Kewajipan, USJ 1, UEP",4,47600
0BE1FDA093540DA9C116DCA3F78774AD,Super 8 Hotel Xiamen Guanghua Building,Xiamen,CN,No.68-72 Hexiang West Road,3,361004
0A367000D6EEBA9446A1940F4E244926,Hoang Minh Hotel,Ho Chi Minh City,VN,315 Pham Ngu Lao,1,
F1A030AEC86F1683B17B457395FC7099,Rumah Tyang,Ubud,ID,"Jl. Suweta No. 51, Banjar Sambahan, Ubud",4,80571
6BE3542F13729B706B2C01ACD33B101E,Guesthouse Akicafe Inn,Hiroshima,JP,Minami Enkobashi-cho 2-7-1F,1,732-0823
543D3A251BD711DD22B552D7379E24B2,Sleep Inn Boone,Boone,US,163 Hwy 105 Extension,2,28607
C7EABD73A3985AA1AC41BC3A80589670,Comfort Inn & Suites Airport Syracuse,Syracuse,US,6701 Buckley Road,3,13212
A0B4CF5FE69E6F65F5666FAE522ED4C4,Hotel Natural Garden Nikko,Nikko,JP,Hanaishicho 1825-3,3,321-1435
283F2616B67354B85EB3230D30E77F51,Country Inn & Suites Panama Canal,Panama City,PA,"Boulevard Amador, Avenida Pelicano",4,0823-05872
EEB7607A1979A388B26B5AC5D661A908,Lanna Palace 2004,Chiang Mai,TH,"184 Chang Klan Rd., Muang, Chiang Mai",3,50100
014DA5B73B920833CA827999C0462030,Hudson River Hotel,New York,US,442 West 36th Street,3,10018
91086A8AFD18DE7C8C1158F7FCC89091,Park Plaza Trier,Trier,DE,Nikolaus-Koch-Platz 1,4,54290
